Year,Month,Max Temperature,Min Temperature,Snow Fall
2000,1,-2.92,-15.14,17.52
2000,2,0.01,-11.84,12.86
2000,3,3.86,-7.97,21.57
2000,4,11.15,-2.07,15.92
2000,5,16.44,3.16,10.55
2000,6,20.34,7.43,0.01
2000,7,22.86,9.46,0
2000,8,22.61,8.64,0.03
2000,9,17.55,3.92,5.03
2000,10,12.09,-1.42,10.2
2000,11,2.7,-9,16.68
2000,12,-1.42,-13.51,17.43
